Team,Value,Revenue
Anaheim,368,157
Baltimore,359,156
Boston,617,206
Chicago White Sox,315,157
Cleveland,352,150
Detroit,292,146
Kansas City,239,117
Minnesota,216,114
Oakland,234,134
Seattle,428,179
Tampa Bay,209,116
Texas,353,153
Toronto,286,136
Arizona,305,145
Atlanta,405,172
Chicago Cubs,458,179
Cincinnati,274,137
Colorado,298,145
Florida,226,109
Houston,416,173
Los Angeles,482,189
Milwaukee,235,131
New York Mets,604,195
Philadelphia,424,176
Pittsburgh,260,125
St. Louis,429,175
San Diego,354,168
San Francisco,420,171
Washington,440,145